tool_name,PMID,publicationDOI,URL,biotoolsID,commit_id_260317
pypgatk,34904638,10.1093/bioinformatics/btab838,https://github.com/bigbio/pgatk/,,b9f8d170b076c3c6b43df488c073d4f433eadeac
proChIPdb,34791440,10.1093/nar/gkab1043,https://github.com/SBRG/ChIPdb,,cd0946db96ce7debe57e81cf529a8ca5df62de29
gACSON,35436661,,https://github.com/Andrea-Behanova/gACSON,,72a4a5fdf5e06605ff17c19ddc0b063fa0712e76
PepGM,37129543,10.1093/bioinformatics/btad289,https://github.com/BAMeScience/PepGM,,61d90e16175bf5feb75478230e0b7b30b04e5e1a
pycabnn,32733226,10.3389/fninf.2020.00031,https://github.com/CNS-oist/pycabnn,,e346b5436d3bf265b527669708eb611a8cf12abc
SNPeffect,37464277,10.1186/s12859-023-05407-9,https://github.com/vibbits/snpeffect,,67b65058cb5450f14374d20580f44c6f194e246f
CBMOS,35100968,10.1186/s12859-022-04575-4,https://github.com/somathias/cbmos,,0ed88afdb4ed0589db66d9139f53c7bfc89e94c6
SQUiD,39696687,10.1186/s13059-024-03447-9,https://github.com/G2Lab/SQUiD/,,3f5931928a143c3f4bb5a85413627a12710daeff
NGSpeciesID,33598139,10.1002/ece3.7146,https://github.com/ksahlin/NGSpeciesID,,962ecdd7f74a197d199741cc3bd861b31aaa4207
DiazoTIME,41025798,10.1128/mra.00897-25,https://github.com/Aquatic-Nitrogen-Fixation-RCN/RCO1-nfixBiodiversity_DiazoTIME,,76e5b2767f89161a5485472ea47d4460f029d0aa
SUBATOMIC,36064320,10.1186/s12859-022-04908-3,https://github.com/CBIGR/SUBATOMIC,,01167e390a711440c97d3b0ecac5f2731e71ae41
SmartGraph,33430980,10.1186/s13321-020-0409-9,https://github.com/ncats/smartgraph_backend,,7e632474ed2434ed26d49b5df8ef63bb04ad1e5f
RegiSTORM,37277712,10.1186/s12859-023-05320-1,https://github.com/oystein676/RegiSTORM,,211e921ce047b1bbd0e2d763231f87c1bd682fc2
MUFFIN,33561126,10.1371/journal.pcbi.1008716,https://github.com/RVanDamme/MUFFIN,,7e9447e7de85a8e11a09e70ebed824e06ef35457
VISION,39258319,10.1242/jcs.262166,https://github.com/biosciflo/VISION,,91e0f2e9c4fb81575a632f662d3b910cd91537fd
uafR,38968199,10.1371/journal.pone.0306202,http://github.org/castratton/uafR,,a4b1fbfae19b4e069b87dc841787170e9efcc663
NGSNGS,36661298,10.1093/bioinformatics/btad041,https://github.com/RAHenriksen/NGSNGS,,9422b47bbeff0cc756ac2ab046e19996a0813d78
NXTfusion,37255310,10.1093/bioinformatics/btad348,https://github.com/eugeniomazzone/CPI-NXTFusion,,a19d739bc0dc42d76e3d542619dcfc4303a04b21
