tool_name,PMID,publicationDOI,URL,biotoolsID_260317,commit_id_260317,biotoolsID_260920
DiffusionLab,35689015,10.1038/s41598-022-13446-0,https://github.com/fmeirer/DiffusionLab,diffusionlab,4ade2dc8526289a931bf344a56f4be853bfc142a,
disclosuR,39253002,10.1016/j.mex.2024.102909,https://github.com/jonasroettger/disclosuR,,1ba128d76d92048ae75a41427668fa15ca7b4a77,
DiSCount,32377220,10.1186/s13007-020-00602-8,https://gitlab.com/lodewijk-track32/discount_paper,discount,417b4dcd756e48e123cb1bb351ba858ccef607fd,
DisGUVery,36508359,10.1021/acssynbio.2c00407,https://github.com/DisGUVery/disguvery,,3a0abf9b366d65de80ce54c3f0a5d1def60ffb2e,
DMI-TCAT,33665150,10.1016/j.mex.2020.101164,https://github.com/digitalmethodsinitiative/dmi-tcat,,"3e67658b3aa52004679bb9d10fcc19c8092b17f9
d6e60677dfeefb4b9d441fe6ca5e064bc6f7af65",
dnabarcoder,35621380,10.1111/1755-0998.13651,https://github.com/vuthuyduong/dnabarcoder,,ff3d04f65bcf431b4277fc9e9ea7b3298eeb940f,
DRAM,32766782,10.1093/nar/gkaa621,https://github.com/WrightonLabCSU/DRAM,,fe61d759303f30db058d5d505c448b28e41b03f1,
DrugEx,37272707,10.1021/acs.jcim.3c00434,https://github.com/CDDLeiden/DrugEx,drugex,bf61ce71db96bdfe25cc2832ec0d4cf0b1142db4,
Dsuite,33012121,10.1111/1755-0998.13265,https://github.com/millanek/Dsuite,Dsuite,a547f99599d763c1760548191ea3f62cc58e8ac3,
DSW,,,https://github.com/ds-wizard/ds-wizard,Data_Stewardship_Wizard,d031479d02466dd0f2b1705871a52c9e33812096,
Edutex,34640969,10.3390/s21196649,https://gitlab.com/ciordashertel/edutex,,a735b7a0d52f00f3f6db5e6e310a995d3d45282f,
EFAST,33688604,10.1162/netn_a_00162,https://github.com/vankesteren/efast,,5f600af35f29eb1c4d5582e4b3a0407fde741147,
EFMviz,32059585,10.3390/metabo10020066,https://github.com/opencobra/cobratoolbox,,385138105fcb4df4ddf5523172d0c78b0413792c,
elastix,19923044,10.1109/tmi.2009.2035616 ,https://github.com/SuperElastix/elastix,,ca25ba35cafa851746388c0e5b286b38fe34c40f,
ENCORE,39284801,10.1038/s41467-024-52446-8,https://github.com/EDS-Bioinformatics-Laboratory/ENCORE,encore,5a8a22c584e99c3b22eff41857a10be2e7dd98d7,
ePlatypus,37682115,10.1093/bioinformatics/btad553,https://github.com/alexyermanos/Platypus,platypus-lymphocyte,8f1a6a6c7545c56bc8a64b71d2fcace278743f02,
FAIRDataPoint,,,https://github.com/FAIRDataTeam/FAIRDataPoint,FAIRDataPoint,a9c93a1cae7f3a780b9dc93ad0e57c79f26db9b9,
FAIRDataTeam,,,https://github.com/FAIRDataTeam/FAIRDataPoint-client,,f133570441cbed4c0bc0f5a25f3f2a44d7a8fb28,
FASTAFS,34724897,10.1186/s12859-021-04455-3,https://github.com/yhoogstrate/fastafs,fastafs,135f33a9aaafa136c2102364592b4e29fbd6399f,
