tool_name,PMID,publicationDOI,URL,biotoolsID_260317,commit_id_260317,biotoolsID_260920
TOSCCA,38456127,10.1093/bioadv/vbae021,https://github.com/nuria-sv/toscca,,6753651655619cbc8ddc7b0db8047af311ae46e3,toscca
TreatmentPatterns,36084453,10.1016/j.cmpb.2022.107081,https://github.com/mi-erasmusmc/TreatmentPatterns,treatmentpatterns,171b60af7e76f63e09f2c2d48e2b811ce1dafff0,
trie,,,https://github.com/jfjlaros/trie,,575f272dd74e19180518fb2d97052abbf87daaf7,trie
tssv,,,https://github.com/jfjlaros/tssv,,4a3a798abba9edabb391f5b96ef740e5de84c434,
ValidSense,,,https://github.com/umcu/ValidSense,,364b5bd3b08f5b77b7e422ca14ef561c84ecb350,ValidSense
VBG,33454411,10.1016/j.neuroimage.2021.117731,https://github.com/KUL-Radneuron/KUL_VBG,kul-vbg,8ec6cee1cc15f222791d807c333daf2ff2483d78,
VIBE,36619248,10.1002/ggn2.10023,https://github.com/molgenis/vibe,vibe,5f3a0ada9baa4ac46e599e981e9bca97b9acb623,
VIRUSBreakend,33973999,10.1093/bioinformatics/btab343,https://github.com/PapenfussLab/VIRUSBreakend,,af6fc6eee2b35d49335cd2f0a07de250748fc7fb,
WGDTree,36434497,10.1186/s12859-022-05042-w,https://github.com/cnickh/wgdtree,wgdtree,5d61f31964da221716fd4fc492342ac42732f563,
WikiPathways,29136241,10.1093/nar/gkx1064,https://github.com/wikipathways/wikipathways-database,wikipathways,9297cd6f02b165f243ab3fd827fcffb50d4d4a84,
WOMBAT-P,38038272,10.1021/acs.jproteome.3c00636,https://github.com/wombat-p/WOMBAT-Pipelines,,265c914d5f96bf28f4f1cab81f0e25a49e383121,
XNAT Browser,,,https://gitlab.com/lkeb/xnat_browser,,94dfce23855eb3ac8c890134e877efa71c6eab68,
XNAT Pipelines,,,https://github.com/jhuguetn/xnat-pipelines,,6044b1010a65bc0a4fd720e9a3465cd3ac2733b7,
