tool,dimension,dimension_score,metric,raw_value,normalized_value,weight,contribution
DSW,compatibility,0.0,input_formats,,,0.0,0.0
DSW,compatibility,0.0,output_formats,,,0.0,0.0
DSW,compatibility,0.0,has_workflow_support,False,0.0,0.34142426786507973,0.0
DSW,compatibility,0.0,has_distribution_support,False,0.0,0.6585757321349203,0.0
DSW,fairness,,license,,,0.0,0.0
DSW,fairness,,repository,,,0.0,0.0
DSW,fairness,,registry,,,0.0,0.0
DSW,fairness,,citation,,,0.0,0.0
DSW,fairness,,checklist,,,0.0,0.0
DSW,fairness,,publication_open_access,,,0.0,0.0
DSW,maintainability,1.0,nloc_per_file,0.0,1.0,0.342201,0.342201
DSW,maintainability,1.0,avg_ccn,0.0,1.0,0.324063,0.324063
DSW,maintainability,1.0,duplicate_rate,0.0,1.0,0.333736,0.333736
DSW,sustainability,0.14931164407441017,avg_issue_close_time_days,103.13476429605501,0.0,0.199091,0.0
DSW,sustainability,0.14931164407441017,num_open_issues,1,0.995,0.127273,0.126636635
DSW,sustainability,0.14931164407441017,days_since_last_commit,967,0.0,0.114545,0.0
DSW,sustainability,0.14931164407441017,inverse_simpson_index,2.7816091954022992,0.09376890502117365,0.241818,0.02267500907441017
DSW,sustainability,0.14931164407441017,has_releases,False,0.0,0.149091,0.0
DSW,sustainability,0.14931164407441017,has_contribution_guidelines,False,0.0,0.168182,0.0
DSW,security,0.0,default_branch_protected,False,0.0,0.47669736382597355,0.0
DSW,security,0.0,has_security_policy,False,0.0,0.2996011877543224,0.0
DSW,security,0.0,gitignore_present,False,0.0,0.22370144841970407,0.0
DSW,security,0.0,security_updates,,,0.0,0.0
DSW,security,0.0,secret_scanning,,,0.0,0.0
DSW,scientific_impact,0.11588224877058673,fwci,,,0.0,0.0
DSW,scientific_impact,0.11588224877058673,citation_count,,,0.0,0.0
DSW,scientific_impact,0.11588224877058673,star_count,20,0.2,0.5572749935294038,0.11145499870588077
DSW,scientific_impact,0.11588224877058673,fork_count,1,0.01,0.44272500647059626,0.004427250064705963
DSW,scientific_impact,0.11588224877058673,altmetric_score,,,0.0,0.0
GSI-RADS,compatibility,0.0,input_formats,,,0.0,0.0
GSI-RADS,compatibility,0.0,output_formats,,,0.0,0.0
GSI-RADS,compatibility,0.0,has_workflow_support,False,0.0,0.34142426786507973,0.0
GSI-RADS,compatibility,0.0,has_distribution_support,False,0.0,0.6585757321349203,0.0
GSI-RADS,fairness,1.0,license,,,0.0,0.0
GSI-RADS,fairness,1.0,repository,,,0.0,0.0
GSI-RADS,fairness,1.0,registry,,,0.0,0.0
GSI-RADS,fairness,1.0,citation,,,0.0,0.0
GSI-RADS,fairness,1.0,checklist,,,0.0,0.0
GSI-RADS,fairness,1.0,publication_open_access,True,1.0,1.0,1.0
GSI-RADS,maintainability,0.85110991083,nloc_per_file,78.77,0.92123,0.342201,0.31524582723
GSI-RADS,maintainability,0.85110991083,avg_ccn,3.53,0.7188888888888889,0.324063,0.23296529
GSI-RADS,maintainability,0.85110991083,duplicate_rate,9.24,0.9076,0.333736,0.3028987936
GSI-RADS,sustainability,0.32358958654034853,avg_issue_close_time_days,3.6427893518518517,0.9595245627572017,0.199091,0.19103270472389403
GSI-RADS,sustainability,0.32358958654034853,num_open_issues,0,1.0,0.127273,0.127273
GSI-RADS,sustainability,0.32358958654034853,days_since_last_commit,1578,0.0,0.114545,0.0
GSI-RADS,sustainability,0.32358958654034853,inverse_simpson_index,1.4151624548736466,0.02185065551966561,0.241818,0.0052838818164544984
GSI-RADS,sustainability,0.32358958654034853,has_releases,False,0.0,0.149091,0.0
GSI-RADS,sustainability,0.32358958654034853,has_contribution_guidelines,False,0.0,0.168182,0.0
GSI-RADS,security,0.0,default_branch_protected,False,0.0,0.47669736382597355,0.0
GSI-RADS,security,0.0,has_security_policy,False,0.0,0.2996011877543224,0.0
GSI-RADS,security,0.0,gitignore_present,False,0.0,0.22370144841970407,0.0
GSI-RADS,security,0.0,security_updates,,,0.0,0.0
GSI-RADS,security,0.0,secret_scanning,,,0.0,0.0
GSI-RADS,scientific_impact,0.29778892868296597,fwci,,,0.0,0.0
GSI-RADS,scientific_impact,0.29778892868296597,citation_count,14,0.5106344530534098,0.42010770929155566,0.21452147035761443
GSI-RADS,scientific_impact,0.29778892868296597,star_count,21,0.21,0.32315947255229943,0.06786348923598287
GSI-RADS,scientific_impact,0.29778892868296597,fork_count,6,0.06,0.2567328181561449,0.015403969089368693
GSI-RADS,scientific_impact,0.29778892868296597,altmetric_score,,,0.0,0.0
VBG,compatibility,0.0,input_formats,,,0.0,0.0
VBG,compatibility,0.0,output_formats,,,0.0,0.0
VBG,compatibility,0.0,has_workflow_support,False,0.0,0.34142426786507973,0.0
VBG,compatibility,0.0,has_distribution_support,False,0.0,0.6585757321349203,0.0
VBG,fairness,0.0,license,,,0.0,0.0
VBG,fairness,0.0,repository,,,0.0,0.0
VBG,fairness,0.0,registry,,,0.0,0.0
VBG,fairness,0.0,citation,,,0.0,0.0
VBG,fairness,0.0,checklist,,,0.0,0.0
VBG,fairness,0.0,publication_open_access,False,0.0,1.0,0.0
VBG,maintainability,1.0,nloc_per_file,0.0,1.0,0.342201,0.342201
VBG,maintainability,1.0,avg_ccn,0.0,1.0,0.324063,0.324063
VBG,maintainability,1.0,duplicate_rate,0.0,1.0,0.333736,0.333736
VBG,sustainability,0.21979431965703625,avg_issue_close_time_days,50.83323881172839,0.43518623542524004,0.199091,0.08664166279704646
VBG,sustainability,0.21979431965703625,num_open_issues,5,0.975,0.127273,0.124091175
VBG,sustainability,0.21979431965703625,days_since_last_commit,828,0.0,0.114545,0.0
VBG,sustainability,0.21979431965703625,inverse_simpson_index,1.7119741100323627,0.03747232158065067,0.241818,0.009061481859989784
VBG,sustainability,0.21979431965703625,has_releases,False,0.0,0.149091,0.0
VBG,sustainability,0.21979431965703625,has_contribution_guidelines,False,0.0,0.168182,0.0
VBG,security,0.0,default_branch_protected,False,0.0,0.47669736382597355,0.0
VBG,security,0.0,has_security_policy,False,0.0,0.2996011877543224,0.0
VBG,security,0.0,gitignore_present,False,0.0,0.22370144841970407,0.0
VBG,security,0.0,security_updates,,,0.0,0.0
VBG,security,0.0,secret_scanning,,,0.0,0.0
VBG,scientific_impact,0.436522865824451,fwci,,,0.0,0.0
VBG,scientific_impact,0.436522865824451,citation_count,56,0.7623644761006665,0.42010770929155566,0.3202751936999079
VBG,scientific_impact,0.436522865824451,star_count,32,0.32,0.32315947255229943,0.10341103121673582
VBG,scientific_impact,0.436522865824451,fork_count,5,0.05,0.2567328181561449,0.012836640907807246
VBG,scientific_impact,0.436522865824451,altmetric_score,,,0.0,0.0
rtfMRI-NF,compatibility,0.0,input_formats,,,0.0,0.0
rtfMRI-NF,compatibility,0.0,output_formats,,,0.0,0.0
rtfMRI-NF,compatibility,0.0,has_workflow_support,False,0.0,0.34142426786507973,0.0
rtfMRI-NF,compatibility,0.0,has_distribution_support,False,0.0,0.6585757321349203,0.0
rtfMRI-NF,fairness,1.0,license,,,0.0,0.0
rtfMRI-NF,fairness,1.0,repository,,,0.0,0.0
rtfMRI-NF,fairness,1.0,registry,,,0.0,0.0
rtfMRI-NF,fairness,1.0,citation,,,0.0,0.0
rtfMRI-NF,fairness,1.0,checklist,,,0.0,0.0
rtfMRI-NF,fairness,1.0,publication_open_access,True,1.0,1.0,1.0
rtfMRI-NF,maintainability,0.9796671889999999,nloc_per_file,51.0,0.949,0.342201,0.32474874899999995
rtfMRI-NF,maintainability,0.9796671889999999,avg_ccn,1.08,0.991111111111111,0.324063,0.32118243999999996
rtfMRI-NF,maintainability,0.9796671889999999,duplicate_rate,0.0,1.0,0.333736,0.333736
rtfMRI-NF,sustainability,0.15891068773106556,avg_issue_close_time_days,,,0.0,0.0
rtfMRI-NF,sustainability,0.15891068773106556,num_open_issues,0,1.0,0.15891068773106556,0.15891068773106556
rtfMRI-NF,sustainability,0.15891068773106556,days_since_last_commit,2342,0.0,0.14301874495104935,0.0
rtfMRI-NF,sustainability,0.15891068773106556,inverse_simpson_index,1.0,0.0,0.301929432682115,0.0
rtfMRI-NF,sustainability,0.15891068773106556,has_releases,False,0.0,0.18615223452352264,0.0
rtfMRI-NF,sustainability,0.15891068773106556,has_contribution_guidelines,False,0.0,0.20998890011224747,0.0
rtfMRI-NF,security,0.0,default_branch_protected,False,0.0,0.47669736382597355,0.0
rtfMRI-NF,security,0.0,has_security_policy,False,0.0,0.2996011877543224,0.0
rtfMRI-NF,security,0.0,gitignore_present,False,0.0,0.22370144841970407,0.0
rtfMRI-NF,security,0.0,security_updates,,,0.0,0.0
rtfMRI-NF,security,0.0,secret_scanning,,,0.0,0.0
rtfMRI-NF,scientific_impact,0.2816920745477772,fwci,,,0.0,0.0
rtfMRI-NF,scientific_impact,0.2816920745477772,citation_count,29,0.6413354390568011,0.42010770929155566,0.2694299621896468
rtfMRI-NF,scientific_impact,0.2816920745477772,star_count,3,0.03,0.32315947255229943,0.009694784176568983
