tool,overall,compatibility,fairness,maintainability,sustainability,security,scientific_impact
MS2AI,0.5030464627796587,0.6585757321349203,0.36993450180694837,0.8353284211800001,0.37987501639590593,0.47669736382597355,0.19112916709718808
VISION,0.40681661709871175,0.0,1.0,,0.15951504539817063,0.0,0.6155256558921696
Biosaur,0.6061038586822137,0.6585757321349203,0.6640526343715181,0.70407706903,0.37756275200313694,0.7003988122456777,0.5159191426703774
kboolnet,0.4587494933588123,0.0,1.0,0.7892366998699999,0.17638890322875306,0.22370144841970407,0.1306775587026963
EyeLoop,0.6964987865302519,0.6585757321349203,1.0,0.9271366250099999,0.4830652897313463,0.22370144841970407,0.5819968490638209
pyCancerSig,0.6119904102021135,0.6585757321349203,1.0,0.87821997442,0.20334536352930555,0.22370144841970407,0.37923956485945726
Columba,0.4326149196113267,0.0,0.715078,0.84643155838,0.26088108902162127,0.0,0.45872953574761716
SpecieScan,0.5725775793535524,0.6585757321349203,1.0,,0.31846251028263883,0.0,0.625900137131539
Peptimetric,0.47380214753137495,0.6585757321349203,0.715078,0.61034888387,0.23091950357271898,0.22370144841970407,0.1612546854557669
uafR,0.8417085831948932,,1.0,,,,0.5314065517967291
SUBATOMIC,0.3978442878276548,0.0,0.715078,0.73950637809,0.2766870437985387,0.0,0.31907714123741115
MP-Net,0.6097227147197211,0.6585757321349203,1.0,0.85618590022,0.17761407139129226,0.22370144841970407,0.43969093660329617
Panqc,0.6684856267951558,0.6585757321349203,1.0,0.8837782463999999,0.3730645446538336,0.22370144841970407,0.5905254372583896
ComplexTome,0.4028378153046264,0.0,0.715078,0.6612274993,0.15096515334451227,0.22370144841970407,0.46841278238655015
psm_utils,0.7241078269124344,0.6585757321349203,0.8,0.88228695858,0.5510911939020426,0.7003988122456777,0.6860130426388303
CVRmap,0.643464891284313,0.6585757321349203,1.0,0.715307532,0.3285937636358395,0.7003988122456777,0.24215256836581942
PhyloES,0.44784432753942627,0.6585757321349203,0.465632,0.80702599285,0.323203052470787,0.0,0.16195236537563915
DeepMAP,0.5632692733344009,0.6585757321349203,1.0,0.8476986153199999,0.2082815421525237,0.22370144841970407,0.0
CBMOS,0.5458177330693453,0.6585757321349203,0.715078,0.8772152351,0.16596468001014356,0.22370144841970407,0.42178522542461994
xrdPlanner,0.5042566070409594,0.6585757321349203,1.0,0.6100378701,0.13446490761928404,0.0,0.2581279578996597
XeroGraph,0.5302906646821289,0.6585757321349203,0.715078,0.77714289546,0.37181616783142246,0.0,0.3676821031402315
MUFFIN,0.5046767816542136,0.34142426786507973,0.715078,0.7280010675999999,0.2641666971620723,0.0,0.8315263109000133
FRETpredict,0.5630705167835044,0.6585757321349203,0.805987,0.8636649219999999,0.1991975059854791,0.0,0.5992528818650854
COSS,0.391523283010938,0.0,0.36993450180694837,0.8826784610099999,0.3316959834942176,0.22370144841970407,0.36454933393555233
MS2Quant,0.516095850720211,0.0,1.0,0.6831423674,0.41818937147993424,0.0,0.6657976549960323
18S-NemaBase,0.4129858583873942,0.0,0.465632,0.9204575779999999,0.32630364593203703,0.0,0.5404600396009943
BinDel,0.6188261749512666,0.6585757321349203,1.0,0.7795104244,0.3232688907584259,0.22370144841970407,0.4213589518102739
BioMOBS,0.4339947561505381,0.0,0.715078,0.8942564897399999,0.3056644563681806,0.22370144841970407,0.07998246397060672
ionmob,0.6858052799682598,0.6585757321349203,1.0,0.9068145938600001,0.1635334855486697,0.7003988122456777,0.5374745911541802
OpenMandible,0.31982432873324884,0.0,0.36993450180694837,0.70118505937,0.1687062222434032,0.0,0.5554765988699513
MutateX,0.6026000577321782,0.6585757321349203,0.6640526343715181,0.7714344667999999,0.20567661273806492,0.47669736382597355,0.8760369981882331
MagicalRsq-X,0.43923374840800833,0.0,1.0,0.7263623248,0.22764272721256468,0.0,0.22376546393448332
ONT-AmpSeq,0.640602325073197,1.0,0.715078,0.79930564695,0.31544804121762476,0.22370144841970407,0.6868586857733643
TADA,0.6029707347802915,1.0,0.715078,0.91989871633,0.24377091267296921,0.22370144841970407,0.25980831230880586
FRAGLER,0.5886486192979448,0.6585757321349203,0.715078,0.811163267,0.4695427320706847,0.22370144841970407,0.42591861174131684
ibmd,0.447932401221682,0.0,0.715078,0.7457164509800001,0.2608663456911323,0.22370144841970407,0.5363728737295892
SQUiD,0.426311495622207,0.0,0.715078,0.78843206124,0.15891068773106556,0.22370144841970407,0.43547156268425347
PepGM,0.568724919528031,0.34142426786507973,0.715078,0.8892793394999999,0.23654824430653007,0.7003988122456777,0.41576337309538963
DepoScope,0.5997434426339667,0.6585757321349203,0.715078,0.94255941925,0.22761864770764806,0.22370144841970407,0.6780747472800148
CANVAR,0.3017177925103108,0.0,0.465632,0.794344501,0.15096515334451227,0.0,0.07336974185626513
SmartGraph,0.5511913472528553,0.0,0.715078,0.8919741400699999,0.24528781740240801,0.7762985515802959,0.6250496664197117
NeuroDevSim,0.45819962948462345,0.6585757321349203,0.715078,0.39485903879999995,0.18368438477164936,0.47669736382597355,0.2171076812844055
BIGwas,0.5362477349235238,0.34142426786507973,0.715078,0.6522969305199999,0.216908633806089,0.7003988122456777,0.5831399734621405
SoIR,0.37763438241926234,0.0,1.0,0.3184175176,0.15891068773106556,0.0,0.518181291263873
ARGprofiler,0.62270398216959,0.34142426786507973,0.805987,0.8685815589999999,0.27411359188601403,0.7003988122456777,0.6852071904401111
OmicsVolcano,0.44818575032163094,0.0,1.0,0.72936139775,0.13507408457140574,0.0,0.4450141103855374
BMAT,0.4866160025652958,0.6585757321349203,0.805987,0.47472051560000006,0.12090934999999998,0.22370144841970407,0.511318195665404
SpanSeq,0.6700669392105445,1.0,0.715078,0.8728058372399999,0.4829794939164572,0.22370144841970407,0.5454232349321713
NGSNGS,0.3751132004899734,0.0,0.465632,0.56213534267,0.21269577044690643,0.22370144841970407,0.791779011724289
pycofitness,0.573502966227634,0.6585757321349203,1.0,0.82705118905,0.13507408457140574,0.0,0.4776041005894299
Demes,0.64610435790495,0.6585757321349203,1.0,0.67641970387,0.42375090248194125,0.22370144841970407,0.6808664483692098
ThoughtSource,0.7704229286616155,0.6585757321349203,1.0,0.79814160915,0.5524851788664734,0.7003988122456777,0.8449772711075115
GRASP,0.5714910149721157,0.6585757321349203,0.715078,0.8261582211699999,0.15342639751695297,0.7003988122456777,0.2569824160832816
MODER2,0.464527226323658,0.0,1.0,0.76950966617,0.1814925252935559,0.22370144841970407,0.20784998027314883
CNNGWP,0.5473432285025859,0.0,1.0,0.975361528,0.3223502609197685,0.0,0.5750570065477347
HAYSTAC,0.6287648145890137,1.0,0.715078,0.7818541150399999,0.322536877218836,0.22370144841970407,0.6030369948434925
mOTUlizer,0.5223024689052365,0.6585757321349203,0.715078,0.6065824778,0.15859896104815605,0.22370144841970407,0.7072796688562852
BFEX,0.6514480414930951,0.6585757321349203,1.0,0.71841391263,0.21337536046584873,0.7003988122456777,0.4910646439782702
ClusterApp,0.49318954291750344,0.0,1.0,0.79662628325,0.37484223020770735,0.22370144841970407,0.10011085963776536
soibean,0.4351914394517146,0.0,1.0,0.7905068496,0.15891068773106556,0.0,0.18513914983451546
CAMPP,0.42595757972239445,0.0,0.715078,0.6476679996,0.4170056685489924,0.0,0.5020952009486497
COSORE,0.5247312732194526,0.0,0.715078,0.8630656434299999,0.34199295716322226,0.22370144841970407,0.8690901659547128
STCellbin,0.6396204776511354,0.6585757321349203,1.0,0.83250681965,0.36285525562442855,0.22370144841970407,0.44563743793261384
TARDIS,0.4807477572906584,0.0,1.0,0.58139020198,0.3120519429563079,0.22370144841970407,0.4730905749814946
pypgatk,0.8216803192542737,,0.830377,0.8635634047699999,,,0.7305054233147238
CCMetagen,0.6711489797026569,0.6585757321349203,0.715078,0.8454490796799999,0.26896458708216786,0.7003988122456777,0.9076438728247991
CPSign,0.40044556151726546,0.0,0.465632,0.87683301329,0.15383576362095214,0.22370144841970407,0.5503316495895845
iLipidDyn,0.6483955296804504,0.6585757321349203,0.715078,0.90294948245,0.33908389332129957,0.7003988122456777,0.4948216842684294
Lemon-Tree,0.49893304636728414,,0.465632,0.75295662069,,,0.11463121132272173
GEnView,0.46363850794998074,0.6585757321349203,0.715078,0.39297661489999997,0.3634750817963426,0.0,0.4790844149512254
Myotube Analyzer,0.5234929185415054,0.0,1.0,1.0,0.143019618957959,0.0,0.6107322083784064
PhyloFisher,0.8016077814857108,1.0,1.0,0.80261145644,0.40334567993895515,0.7003988122456777,0.8877604503879235
ForSys,0.6494784895835262,0.6585757321349203,0.921286,0.80907752243,0.13293987773950128,0.7003988122456777,0.5966665981582497
CONCOMPRA,0.410965049889617,0.0,0.465632,0.9193454247499999,0.29035712096270366,0.0,0.5824150362837048
CyCadas,0.6190701704656753,0.6585757321349203,0.805987,0.8576661163999999,0.2864400437614372,0.7003988122456777,0.22513732386803134
MiFoDB,0.49560144636781245,0.6585757321349203,0.465632,1.0,0.15096515334451227,0.0,0.5134741307133059
Introducing ActiveInference.jl,0.716791618707077,,0.715078,0.8008017439999999,,,0.5714658850855504
SNPeffect,0.4118993493312202,0.0,0.715078,0.8457201512099999,0.207395957829981,0.0,0.36488421857004244
parallelproj,0.8700014028751574,,0.921286,0.8908962739099999,,,0.7324864141661057
SOAPTyping,0.44097805156456965,0.0,0.715078,0.83107613925,0.22252243833854923,0.22370144841970407,0.38605878318241266
MS2Tox,0.6886050054298548,1.0,1.0,0.7595984360999999,0.2257600093744432,0.22370144841970407,0.761453377910424
RADSex,0.5510059109135198,0.0,1.0,0.8471600835599999,0.25257592263816425,0.22370144841970407,0.7114355118240289
UCEasy,0.6020875324905828,0.6585757321349203,0.805987,0.9636686141199999,0.3619525094453795,0.22370144841970407,0.2676071317660756
OpenPhi,0.5660844287443914,0.6585757321349203,0.465632,0.790059227,0.40336055767177315,0.7003988122456777,0.3619770296618671
NanoPack2,0.6464948264643174,0.6585757321349203,0.715078,1.0,0.27623631498944445,0.22370144841970407,0.9066188108787565
CoverM,0.5162106960379794,0.0,0.921286,0.6173898281,0.23993803440849554,0.22370144841970407,0.9888906226230362
PhaLP,0.3931423128594674,0.0,0.715078,0.46106535469999993,0.21626059085193644,0.22370144841970407,0.6333452986208399
brainageR,0.5029425550244067,0.0,1.0,0.8526608120999999,0.03714435153102337,0.0,0.8618284564751753
IRIDIA-AF,0.6064390097138902,0.6585757321349203,0.715078,0.92464262888,0.3263383163392824,0.47669736382597355,0.34492861198416735
SBMLtoOdin,0.36153346673199455,0.0,0.715078,0.6137024199,0.15891068773106556,0.22370144841970407,0.17919251659563773
SARS-CoV-2,0.7288277108451741,0.6585757321349203,1.0,0.93956465739,0.6100169774814626,0.22370144841970407,0.6387122168676785
osl-dynamics,0.7565518203388067,,0.805987,0.76619505159,,,0.6425759526982874
Simultant,0.5779140861600397,0.6585757321349203,1.0,0.9083086950599999,0.15891068773106556,0.22370144841970407,0.09973154762845265
Pheno-Ranker,0.5613243543359638,0.6585757321349203,0.715078,0.8279069823999999,0.28586431338624363,0.22370144841970407,0.452208337073625
getphylo,0.4514293690321374,0.0,0.715078,1.0,0.15891068773106556,0.0,0.5146671929042502
ARBitR,0.4841002857913408,0.0,1.0,0.7917575237,0.19946172068024692,0.0,0.5448979662560697
PyAMARES,0.6683381152556075,0.6585757321349203,1.0,0.8077570024999999,0.5127567450087014,0.22370144841970407,0.49983209021769504
